Index,Degree,Program,Total Credit Hours,Program_Link
0,Bachelor of Architecture,"Architecture, B.Arch.",155,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2466&amp;returnto=444
1,Bachelor of Arts,"Art History, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2320&amp;returnto=444
2,Bachelor of Arts,"Art Studies, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2317&amp;returnto=444
3,Bachelor of Arts,"Asian Studies, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2272&amp;returnto=444
4,Bachelor of Arts,"Biblical Languages, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2405&amp;returnto=444
5,Bachelor of Arts,"Biblical Studies, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2406&amp;returnto=444
6,Bachelor of Arts,"Christian Leadership, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2411&amp;returnto=444
7,Bachelor of Arts,"Church Leadership and Administration, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2413&amp;returnto=444
8,Bachelor of Arts,"English, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2275&amp;returnto=444
9,Bachelor of Arts,"Faith and Social Justice, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2407&amp;returnto=444
10,Bachelor of Arts,"French, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2281&amp;returnto=444
11,Bachelor of Arts,"German, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2283&amp;returnto=444
12,Bachelor of Arts,"Mathematics, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2248&amp;returnto=444
13,Bachelor of Arts,"Music, B.A.",132,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2375&amp;returnto=444
14,Bachelor of Arts,"Music, Emphasis in Musical Theatre Studies, B.A.",132,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2475&amp;returnto=444
15,Bachelor of Arts,"Philosophy of Religion, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2408&amp;returnto=444
16,Bachelor of Arts,"Photography, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2744&amp;returnto=444
17,Bachelor of Arts,"Religion and the Arts, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2409&amp;returnto=444
18,Bachelor of Arts,"Religious Studies, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2410&amp;returnto=444
19,Bachelor of Arts,"Spanish, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2285&amp;returnto=444
20,Bachelor of Arts,"Teaching English as a Second Language, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2748&amp;returnto=444
21,Bachelor of Arts,"Theatre and Drama, B.A.",128-132,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2349&amp;returnto=444
22,Bachelor of Arts,"Worship Leadership, B.A.",128,https://catalog.belmont.edu/preview_program.php?catoid=9&amp;poid=2414&amp;returnto=444
